id,name,start_date,exp_end,workflow_id:id,depends_on:id
p1_w1_t1_1,"Task 1.1","2024-09-25","2024-10-09","wf_proj1_se",
p1_w1_t1_2,"Task 1.2","2024-10-10","2024-10-24","wf_proj1_se","p1_w1_t1_1"
p1_w1_t1_3,"Task 1.3","2024-10-25","2024-11-08","wf_proj1_se","p1_w1_t1_2"
p1_w1_t1_4,"Task 1.4","2024-11-09","2024-11-23","wf_proj1_se","p1_w1_t1_3"
p1_w1_t1_5,"Task 1.5","2024-11-24","2024-12-08","wf_proj1_se","p1_w1_t1_4"
p1_w1_t2_1,"Task 2.1","2024-09-26","2024-10-10","wf_proj1_se",
p1_w1_t2_2,"Task 2.2","2024-10-11","2024-10-25","wf_proj1_se","p1_w1_t2_1"
p1_w1_t2_3,"Task 2.3","2024-10-26","2024-11-09","wf_proj1_se","p1_w1_t2_2"
p1_w1_t2_4,"Task 2.4","2024-11-10","2024-11-24","wf_proj1_se","p1_w1_t2_3"
p1_w1_t2_5,"Task 2.5","2024-11-25","2024-12-09","wf_proj1_se","p1_w1_t2_4"
p1_w1_t3_1,"Task 3.1","2024-10-01","2024-10-15","wf_proj1_se",
p1_w1_t3_2,"Task 3.2","2024-10-16","2024-10-30","wf_proj1_se","p1_w1_t3_1"
p1_w1_t3_3,"Task 3.3","2024-10-31","2024-11-14","wf_proj1_se","p1_w1_t3_2"
p1_w1_t3_4,"Task 3.4","2024-11-15","2024-11-29","wf_proj1_se","p1_w1_t3_3"
p1_w1_t3_5,"Task 3.5","2024-11-30","2024-12-14","wf_proj1_se","p1_w1_t3_4"
p1_w1_s1_t1_1,"Task 1.1","2025-01-25","2025-02-02","wf_proj1_s1",
p1_w1_s1_t1_2,"Task 1.2","2025-02-03","2025-02-15","wf_proj1_s1","p1_w1_s1_t1_1"
p1_w1_s1_t1_3,"Task 1.3","2025-02-16","2025-03-02","wf_proj1_s1","p1_w1_s1_t1_2"
p1_w1_s1_t1_4,"Task 1.4","2025-03-03","2025-03-20","wf_proj1_s1","p1_w1_s1_t1_2,p1_w1_s1_t1_3"
p1_w1_s1_t1_5,"Task 1.5","2025-04-03","2025-04-20","wf_proj1_s1","p1_w1_s1_t1_3"
